sku number,sku name,product line code,product line name,cmr product line,sub platform
SUT111834,"Pumptube, 106 In, 0.75/0.25, CFLX/APT, AQG , Abbvie Ireland",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT112634,"Pupsit Filtration Assembly, AEGIS5-14, Patheon UK",2JC,LABTAINER,2DBioProcessContainers,FLEXIBLE SOLUTIONS
PROSUT16830,"PUPSIT Sterile Filter Assembly, Aegis5-14, Abbvie Ireland",2NM,FF FILTER ASSEMBLIES,FillFinish,FLEXIBLE SOLUTIONS
B106470-N,PURE-FIT TCL CLAMP 25/PACK,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B15193.01,"PUREFIT Y CONN, W/AQG 3/8"" HIGH TEMP (Z111924), BIOMARIN MANUFACTURING IRELAND",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B108628I,PUREWELD XL 10FT WITH TRI-CL EA,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B110528I,PUREWELD XL 30FT FEMALE AND EA,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B110527I,PUREWELD XL 5FT WITH TRICLA EA,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B108625I,PUREWELD XL F OPTA F OPTA T EA,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B108623I,PUREWELD XL F OPTA GAS FLTR EA,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B108624I,PUREWELD XL FEM OPTA & AIR BRE EA,2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B108626-I,"PUREWELD XL, 10 FT FEMALE AND",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B108628-I,"PUREWELD XL, 10FT WITH TRI-CL",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B110528-I,"PUREWELD XL, 30FT FEMALE AND",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B110527-I,"PUREWELD XL, 5FT WITH TRICLA",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
B108623-I,"PUREWELD XL, F OPTA, GAS FLT",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
F790-2028-002,"Push Button Switch, 22mm, 10A, Green, Non-Illumina",37I,CONTROLLER BEA,SUTAutomation,BEA
PUSH OUT FEE,PUSH OUT FEE,1ZA,SUD OTHER PL,SUDOther,SUD OTHER
