sku number,sku name,product line code,product line name,cmr product line,sub platform
,Pre-assemable Custom CF40 EasyFill,2KJ,BC60 CELL FACTORIES,ProductionCellCulture,RIGID SOLUTIONS
,"Pre-Assemb. CF40, GSK, Crossbow, Sterile",4HE,PRODUCTION CELL CULTURE,ProductionCellCulture,RIGID SOLUTIONS
,"PRE-ASSEMB.CF10,LONZA, STERILE Case of 2",4HE,PRODUCTION CELL CULTURE,ProductionCellCulture,RIGID SOLUTIONS
,"Pre-Assemb.CF40, Bio-Mang, Strl",4HE,PRODUCTION CELL CULTURE,ProductionCellCulture,RIGID SOLUTIONS
,PRE-ASSEMBLED CF MESOBLAST EACH,4HE,PRODUCTION CELL CULTURE,ProductionCellCulture,RIGID SOLUTIONS
,"PRE-ASSEMBLED CF10, RongSheng,Sterile",4HE,PRODUCTION CELL CULTURE,ProductionCellCulture,RIGID SOLUTIONS
,PRE-ASSEMBLED CF10-2 PACK,2KJ,BC60 CELL FACTORIES,ProductionCellCulture,RIGID SOLUTIONS
,PRE-ASSEMBLED CF10-2 PACK CLASS 7 SANOFI,2KK,BC70 CELL FACTORY ACCESSORIES,ProductionCellCulture,RIGID SOLUTIONS
,PRE-ASSEMBLED CF10-2 PACK STERILE,2KK,BC70 CELL FACTORY ACCESSORIES,ProductionCellCulture,RIGID SOLUTIONS
,PRE-ASSEMBLED CF2-4 PACK STERILE,4HE,PRODUCTION CELL CULTURE,ProductionCellCulture,RIGID SOLUTIONS
,Pre-assembled CF40 Hipra 2C sterile,4HE,PRODUCTION CELL CULTURE,ProductionCellCulture,RIGID SOLUTIONS
,"Pre-Assembled CF40, Transgene",2KK,BC70 CELL FACTORY ACCESSORIES,ProductionCellCulture,RIGID SOLUTIONS
,PRE-ASSEMBLED CF40-1 PACK STERILE,2KK,BC70 CELL FACTORY ACCESSORIES,ProductionCellCulture,RIGID SOLUTIONS
,PRE-ASSY CUSTOM CF10 EASYFILL Case of 4,4HE,PRODUCTION CELL CULTURE,ProductionCellCulture,RIGID SOLUTIONS
SH3B4086.01,"Pre-Clarification Filtration Rig, NOVARTIS",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SH3B7191.01,"Pre-Clarification, Pre-Conditioning Rig, Seqirus",2NJ,FTA,FluidTransferAssemblies,FLEXIBLE SOLUTIONS
SUT00018,PRE-COLUMN 3/8” FTA,3BO,HC DYNACHROM,HardwareConsumables,BEA
FSCT-SUB5hL-T1,Premier Service Plan,2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-G3Lite-T1,Premier Service Plan,2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-ROCKER-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-G3LITE-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-SUB5HL-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-G3LAB-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-SUB2KL-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-DDB5KL-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-G3PRO-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-IM05KL-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-SUF3HL-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
FSCT-DDB5HL-T1,"Premier Service Plan includes: corrective maintenance, one annual preventative maintenance, replacem",2LU,HARDWARE CONTRACT,BEAService,BEA
DOC.17901,Premium GMP document package,2LT,PROJECT SERVICES,BEAService,BEA
DOC.18736,Premium GMP document package,2LT,PROJECT SERVICES,BEAService,BEA
DOC.18866,"Premium GMP document package, P255959",2LT,PROJECT SERVICES,BEAService,BEA
DOC.18891,"Premium GMP document package: Architecture Drawing, Layout Drawing",2LT,PROJECT SERVICES,BEAService,BEA
DOC.19138,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O Lis",2LT,PROJECT SERVICES,BEAService,BEA
DOC.17952,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O Lis",2LT,PROJECT SERVICES,BEAService,BEA
DOC.18777,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
DOC.19128,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
DOC.18496,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
DOC.19100,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
DOC.18502,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
DOC.18272,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
DOC.18217,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
DOC.18654,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
DOC.18533,"Premium GMP document package: Architecture Drawing, Layout Drawing, System specific as-built I/O List, P&ID, alarm list, general arrangement drawing  (per vessel type), per Thermo Fisher document format",2LT,PROJECT SERVICES,BEAService,BEA
